College Name,Location,Rating,Reviews,NIRF Ranking,College URL
IISER Pune - Indian Institute of Science Education and Research Pune,N/A,4.1/5,8 Reviews,NIRF Ranking: 42,https://www.careers360.com/university/indian-institute-of-science-education-and-research-pune
"Thapar Institute of Engineering and Technology, Patiala",N/A,4.3/5,337 Reviews,NIRF Ranking: 43,https://www.careers360.com/university/thapar-institute-of-engineering-and-technology-patiala
"Bharathiar University - Bharathiar University, Coimbatore",N/A,4.1/5,13 Reviews,NIRF Ranking: 44,https://www.careers360.com/university/bharathiar-university-coimbatore
"LPU Jalandhar - Lovely Professional University, Phagwara",N/A,4.4/5,1153 Reviews,NIRF Ranking: 45,https://www.careers360.com/university/lovely-professional-university-phagwara
NIT Surathkal (NITK) - National Institute of Technology Karnataka Surathkal,N/A,4.4/5,95 Reviews,NIRF Ranking: 46,https://www.careers360.com/university/national-institute-of-technology-karnataka-surathkal
"SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy, Thanjavur",N/A,4.2/5,183 Reviews,NIRF Ranking: 47,https://www.careers360.com/university/shanmugha-arts-science-technology-research-and-academy-thanjavur
IIT Ropar (IIT-RPR) - Indian Institute of Technology Ropar,N/A,4.5/5,126 Reviews,NIRF Ranking: 48,https://www.careers360.com/university/indian-institute-of-technology-ropar
"Amity University, Noida",N/A,4.1/5,401 Reviews,NIRF Ranking: 49,https://www.careers360.com/university/amity-university-noida
"Kalasalingam Academy of Research and Education, Virudhunagar",N/A,4.0/5,35 Reviews,NIRF Ranking: 50,https://www.careers360.com/university/kalasalingam-academy-of-research-and-education-virudhunagar
"CUSAT Kochi - Cochin University of Science and Technology, Kochi",N/A,4.3/5,36 Reviews,NIRF Ranking: 51,https://www.careers360.com/university/cochin-university-of-science-and-technology-kochi
NIT Warangal - National Institute of Technology Warangal,N/A,4.6/5,142 Reviews,NIRF Ranking: 53,https://www.careers360.com/university/national-institute-of-technology-warangal
NIT Calicut - National Institute of Technology Calicut,N/A,4.3/5,158 Reviews,NIRF Ranking: 54,https://www.careers360.com/university/national-institute-of-technology-calicut
"Bharathidasan University - Bharathidasan University, Tiruchirappalli",N/A,4.2/5,7 Reviews,NIRF Ranking: 55,https://www.careers360.com/university/bharathidasan-university-tiruchirappalli
"ICT Mumbai - Institute of Chemical Technology, Mumbai",N/A,4.5/5,25 Reviews,NIRF Ranking: 56,https://www.careers360.com/university/institute-of-chemical-technology-mumbai
"Gauhati University - Gauhati University, Guwahati",N/A,3.9/5,28 Reviews,NIRF Ranking: 57,https://www.careers360.com/university/gauhati-university-guwahati
"BBAU Lucknow - Babasaheb Bhimrao Ambedkar University, Lucknow",N/A,4.4/5,46 Reviews,NIRF Ranking: 58,https://www.careers360.com/university/babasaheb-bhimrao-ambedkar-university-lucknow
"Panjab University (PUCHD) - Panjab University, Chandigarh",N/A,4.2/5,127 Reviews,NIRF Ranking: 60,https://www.careers360.com/university/panjab-university-chandigarh
IISER Kolkata - Indian Institute of Science Education and Research Kolkata,N/A,3.9/5,4 Reviews,NIRF Ranking: 61,https://www.careers360.com/university/indian-institute-of-science-education-and-research-kolkata
"Jamia Hamdard, New Delhi",N/A,4.4/5,111 Reviews,NIRF Ranking: 62,https://www.careers360.com/university/jamia-hamdard-new-delhi
IISER Mohali - Indian Institute of Science Education and Research Mohali,N/A,4.3/5,10 Reviews,NIRF Ranking: 64,https://www.careers360.com/university/indian-institute-of-science-education-and-research-mohali
"Madras University - University of Madras, Chennai",N/A,4.4/5,9 Reviews,NIRF Ranking: 64,https://www.careers360.com/university/university-of-madras-chennai
"DTU Delhi - Delhi Technological University, Delhi",N/A,4.5/5,453 Reviews,NIRF Ranking: 66,https://www.careers360.com/university/delhi-technological-university-delhi
"MG University (MGU) - Mahatma Gandhi University, Kottayam",N/A,3.6/5,6 Reviews,NIRF Ranking: 67,https://www.careers360.com/university/mahatma-gandhi-university-kottayam
IIT Jodhpur - Indian Institute of Technology Jodhpur,N/A,4.4/5,68 Reviews,NIRF Ranking: 68,https://www.careers360.com/university/indian-institute-of-technology-jodhpur
"Kashmir University - University of Kashmir, Srinagar",N/A,4.0/5,20 Reviews,NIRF Ranking: 69,https://www.careers360.com/university/university-of-kashmir-srinagar
"Osmania University - Osmania University, Hyderabad",N/A,4.0/5,52 Reviews,NIRF Ranking: 70,https://www.careers360.com/university/osmania-university-hyderabad
"DMIHER - Datta Meghe Institute of Higher Education and Research, Wardha",N/A,4.4/5,5 Reviews,NIRF Ranking: 71,https://www.careers360.com/university/datta-meghe-institute-of-higher-education-and-research-wardha
IIT Mandi - Indian Institute of Technology Mandi,N/A,4.4/5,27 Reviews,NIRF Ranking: 72,https://www.careers360.com/university/indian-institute-of-technology-mandi
IIT Patna - Indian Institute of Technology Patna,N/A,4.7/5,55 Reviews,NIRF Ranking: 73,https://www.careers360.com/university/indian-institute-of-technology-patna
AIIMS Rishikesh - All India Institute of Medical Sciences Rishikesh,N/A,4.7/5,7 Reviews,NIRF Ranking: 74,https://www.careers360.com/university/all-india-institute-of-medical-sciences-rishikesh
ISI Kolkata - Indian Statistical Institute Kolkata,N/A,4.0/5,14 Reviews,NIRF Ranking: 75,https://www.careers360.com/university/indian-statistical-institute-kolkata
"Alagappa University - Alagappa University, Karaikudi",N/A,4.2/5,4 Reviews,NIRF Ranking: 76,https://www.careers360.com/university/alagappa-university-karaikudi
VNIT Nagpur - Visvesvaraya National Institute of Technology Nagpur,N/A,4.2/5,124 Reviews,NIRF Ranking: 77,https://www.careers360.com/university/visvesvaraya-national-institute-of-technology-nagpur
IISER Bhopal - Indian Institute of Science Education and Research Bhopal,N/A,4.3/5,12 Reviews,NIRF Ranking: 78,https://www.careers360.com/university/indian-institute-of-science-education-and-research-bhopal
"Graphic Era University, Dehradun",N/A,4.1/5,194 Reviews,NIRF Ranking: 79,https://www.careers360.com/university/graphic-era-university-dehradun
"PAU Ludhiana - Punjab Agricultural University, Ludhiana",N/A,4.2/5,7 Reviews,NIRF Ranking: 80,https://www.careers360.com/university/punjab-agricultural-university-ludhiana
"SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",N/A,4.6/5,65 Reviews,NIRF Ranking: 81,https://www.careers360.com/colleges/sri-sivasubramaniya-nadar-college-of-engineering-kalavakkam
