College Name,Location,Rating,Reviews,NIRF Ranking,College URL
"UNIPUNE (Pune University) - Savitribai Phule Pune University, Pune",N/A,4.3/5,78 Reviews,NIRF Ranking: 37,https://www.careers360.com/colleges/sinhgad-institute-management-pune/mca-course-2
"Kerala University - University of Kerala, Thiruvananthapuram",N/A,4.5/5,4 Reviews,NIRF Ranking: 38,https://www.careers360.com/colleges/sree-narayana-institute-of-technology-kollam/mca-course
JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research Puducherry,N/A,4.8/5,6 Reviews,NIRF Ranking: 39,https://www.careers360.com/university/jawaharlal-institute-of-postgraduate-medical-education-and-research-puducherry/ms-general-surgery-course
"KL University Guntur - Koneru Lakshmaiah Education Foundation, Guntur",N/A,4.4/5,151 Reviews,NIRF Ranking: 40,https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur/mca-course
IISER Pune - Indian Institute of Science Education and Research Pune,N/A,4.1/5,8 Reviews,NIRF Ranking: 42,https://www.careers360.com/university/indian-institute-of-science-education-and-research-pune/phd-biology-course
"Thapar Institute of Engineering and Technology, Patiala",N/A,4.3/5,337 Reviews,NIRF Ranking: 43,https://www.careers360.com/university/thapar-institute-of-engineering-and-technology-patiala/me-computer-science-and-engineering-course
"Bharathiar University - Bharathiar University, Coimbatore",N/A,4.1/5,13 Reviews,NIRF Ranking: 44,https://www.careers360.com/colleges/kgisl-institute-of-information-management-coimbatore/mca-course
"LPU Jalandhar - Lovely Professional University, Phagwara",N/A,4.4/5,1153 Reviews,NIRF Ranking: 45,https://www.careers360.com/university/lovely-professional-university-phagwara/mpharma-pharmaceutical-analysis-course
NIT Surathkal (NITK) - National Institute of Technology Karnataka Surathkal,N/A,4.4/5,95 Reviews,NIRF Ranking: 46,https://www.careers360.com/university/national-institute-of-technology-karnataka-surathkal/mtech-mechatronics-engineering-course
"SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy, Thanjavur",N/A,4.2/5,183 Reviews,NIRF Ranking: 47,https://www.careers360.com/university/shanmugha-arts-science-technology-research-and-academy-thanjavur/mca-online-course
IIT Ropar (IIT-RPR) - Indian Institute of Technology Ropar,N/A,4.5/5,126 Reviews,NIRF Ranking: 48,https://www.careers360.com/university/indian-institute-of-technology-ropar/msc-chemistry-course
